"IdArticulo","Descripcion","Descripcion1","IdTipo","LogoPantalla","AvisoActivo","Aviso","IdFamilia","IdSubFamilia","IdDepartamento","IdSeccion","Favorito","EtiquetaPorPesada","TaraFija","TaraPorcentual","PesoEmbalaje","CheckWeigher","PesoMinimo","PesoMaximo","PesoObjetivo","PorcentajeMinimo","PorcentajeMaximo","FechaCaducidadActivada","FechaCaducidad","DiasCaducidad","HorasCaducidad","FechaExtraActivada","FechaExtra","DiasExtra","HorasExtra","FechaEnvasadoActivada","FechaEnvasado","DiasEnvasado","HorasEnvasado","FechaCongelacionActivada","FechaCongelacion","DiasCongelacion","HorasCongelacion","FechaConsumoActivada","FechaConsumo","DiasConsumo","HorasConsumo","FechaFabricacionActivada","FechaFabricacion","DiasFabricacion","HorasFabricacion","IdEtiqueta","IdEtiquetaAlergenos","IdEtiquetaTotales","IdEtiquetaTotales2","IdEtiquetaTotales3","IdEtiquetaTotalesGeneral","FormatoEtiquetaSerieL","TipoOferta","LogoEtiqueta","CodInterno","EANScanner","IdClase","IdElemAsociado","LoteAuto","Texto1","Texto2","Texto3","Texto4","Texto5","Texto6","Texto7","Texto8","Texto9","Texto10","Texto11","Texto12","Texto13","Texto14","Texto15","Texto16","Texto17","Texto18","Texto19","Texto20","TextoLibre","PesoPieza","Medida2","UnidadesCaja","StockCantidad2","PrecioEstandar","MargenEstandar","PrecioUltimaCompra","FechaUltimaCompra","MargenUltimaCompra","PrecioMedio","MargenMedio","ModificaPV","PrecioSinIVA","IdIVA","PrecioConIVA","Descuento","TipoDescuento","NumUnidadesDto","TipoCalculo","AplicarRE","IdCodBarras","IdCodBarras2","IdCodBarrasTotalNivel1","IdCodBarras2TotalNivel1","IdCodBarrasTotalNivel2","IdCodBarras2TotalNivel2","IdCodBarrasTotalNivel3","IdCodBarras2TotalNivel3","Nivel1","Nivel2","Nivel3","IdCodBarrasTotalGeneral","IdCodBarras2TotalGeneral","IdTexto1","IdTexto2","IdTexto3","IdTexto4","IdTexto5","IdTexto6","IdTexto7","IdTexto8","IdTexto9","IdTexto10","Rojo","Verde","Azul","DescripcionPreenvasados","TeclaDirecta","PrecioOferta","PrecioOferta2","StockActual","StockActual2","PrecioPorCienGramos","IncluirGestionStock","CodSmiley","EnVenta","IdLogo","IdLogo1","IdLogo2","IdLogo3","IdLogo4","IdLogo5","Color","IdEmpresa","Modificado","ModificadoTextos","ModificadoTextoG","Operacion","Usuario","TimeStamp","PlayList","Marca","IdCodigoVisionArt"
12,"POLIPETTI ALLA LUCIANA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: moscardini, aglio, capperi, olive, passata di pomodoro, prezzemolo, Olio evo, sale, pepe, peperoncino secco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
13,"PARMIGIANA DI MELANZANE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: melanzane, Olio evo, olio di semi di girasole, PARMIGIANO, passata di pomodoro, mozzarella fiordi LATTE, PROVOLA, sale, pepe, basilico.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
14,"PARMIGIANA BIANCA DI ZUCCHINE SALSICCIA E PROVOLA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: zucchine, Olio evo, olio di semi di girasole, PARMIGIANO, PROVOLA , salsiccia di maiale a punta di coltello, sale, pepe, FARINA 00, LATTE, BURRO .","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
15,"ZUCCHINE ALLA SCAPECE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: zucchine, Olio evo, olio di semi di girasole, sale, pepe, menta, aceto di vino bianco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
16,"PEPERONI ALLA NAPOLETANA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Peperoni, Olio evo, olio di semi di girasole,olive nere denocciolate, capperi, sale, pepe, aglio.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
17,"FRIARIELLI NAPOLETANI","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: friarielli freschi, aglio, Olio evo, sale, peperoncino secco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
18,"MELANZANE A FUNGHETTO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: melanzane, pomodorini freschi, basilico, passata di pomodoro, aglio, sale, pepe, Olio evo, olio di semi di girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
19,"CREMA DI CACIOCAVALLO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: caciocavallo, LATTE , sale, pepe, BURRO.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,-0.236,0.000,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
20,"CREMA DI PROVOLONE PICCANTE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: PROVOLONE piccante, LATTE , sale, pepe, BURRO","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,-0.238,0.000,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
21,"CREMA DI FRIARIELLI","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: friarielli freschi, aglio, Olio evo, sale, peperoncino secco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
22,"CIPOLLE ROSSE CARAMELLATE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",1,0,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," ingredienti: cipolla rossa, zucchero, aceto di vino bianco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,100.000,,"",100.000,,100.000,1,0.500000,,0.500,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,-0.236,0.000,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 11:28:07","",1,
23,"CROCCHE' DI PATATE (COTTO)","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Patata Gialla PROVOLA, PARMIGIANO,Prezzemolo, Sale, Pepe,  UOVA,  e Olio di Semi di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
24,"PALLE DI RISO (COTTO)","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Riso Carnaroli,  SEDANO,  Carota, Cipolla, Piselli, Olio Evo, Sale, Pepe, Parmiggiano, Pan Grattato, Olio di  Semi di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
25,"FRITTATINA NAPOLETANA DI PASTA CLASSICA (COTTO)","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Bucatini di SEMOLA di  GRANO Duro LATTE, BURRO,  FARINA '00',  SEDANO,  Carota, Cipolla, Trita di Maiale, Trita di Vitello, Parmiggiano, Sale, Pepe, Vino Bianco, PiselliOlio Evo,  UOVA,  Acqua, FARINA di Riso, Olio di Semi di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
26,"FRITTATA NAPOLETANA DI PASTA PATATE E PROVOLA (COTTO)","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Pasta Mista di SEMOLA di  GRANO  Duro,  SEDANO,  Carota, Cipolla, Concentrato di Pomodoro, Patata, PROVOLA, Parmiggiano, Olio Evo, Sale, Pepe, acqua, FARINA di Riso, FARINA 'oo' UOVA, Olio di Semi di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,-0.100,0.000,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
27,"FRITTATINA NAPOLETANA DI PASTA ALLA GENOVESE (COTTO)","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Bucatini di SEMOLA di  GRANO Duro, Carne di Vitello,  SEDANO,  Carota, Cipolla,  LATTE, BURRO,  FARINA 00 Pecorino,  Sale, Pepe, Olio Evo, Alloro, Acqua, FARINA di Riso, FARINA 00 ,  UOVA,  Olio di Semi di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
28,"FRITTATINA NAPOLETANA DI PASTA ALLO SCARPARIELLO ( COTTO)","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0,"Ingredienti: Bucatini di SEMOLA, di  GRANO  Duro, Passata di Pomodoro, Pomodoro Datterino,  SEDANO,  Carota,Cipolla, Peperoncino Secco,  Pecorino,  Olio Evo, FARINA di Riso, FARINA 00,  UOVA,  Olio di Semi di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
29,"POLPETTA FRITTA (COTTO)","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Trita di Maiale, Trita di Vitello, Mollica di Pane, LATTE, UOVA, Parmiggiano, Pan Grattato,  sale, pepe, Olio Evo, Olio di Semi di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
30,"PATATINE FRITTE CRUDE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Patata Gialla Fresca.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
31,"OLIO Al BASILICO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Olio di Oliva Basilico Fresco.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
32,"VEGGY","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Peperoni, Melanzane, Zucchine Crude.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
33,"FRITTATINA NAPETANA COTTA DI PASTA ALLA NERANO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",0,0,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Bucatini di SEMOLA di GRANO Duro, PROVOLONE Piccante, LATTE,  FARINA 00,  BURRO,  Zucchine, Basilico,Sale, Pepe, Olio Evo., Acqua, FARINA di Riso, FARINA 00, UOVA,  Olio di Semi di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,0.000,,"",0.000,,0.000,1,0.000000,,0.000,,1,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,1,1,1,1,1,1,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
34,"PASTA PATATA E PROVOLA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Pasta di SEMOLA Di GRANO Duro,SEDANO, Carota, Cipolla, Concentrato di Pomodoro, Patata, PROVOLA, PARMIGIANO,  Olio Evo, Sale, Pepe, Acqua, FARINA di Riso, FARINA 00,  UOVA,  Olio  di Girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
35,"SCAROLA COTTA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Olio evo, Aglio, Acciughe, Capperi, Olive, Scarola, Sale, Pepe.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
